Id;R/O_final;Country;Entry;Artist;Song;Language;Placing_final;Year
940;1;Spain;44;Ramón;"""Para llenarme de ti""";Spanish;10;2004
941;2;Austria;41;Tie Break;"""Du bist""";German;21;2004
942;3;Norway;43;Knut Anders Sørum;"""High""";English;24 ◁;2004
943;4;France;47;Jonatan Cerrada;"""À chaque pas""";French, Spanish;15;2004
937;5;Serbia and Montenegro;1;Željko Joksimović & Ad-Hoc Orchestra;"""Lane moje"" (Лане моје)";Serbian;2;2004
925;6;Malta;17;Julie and Ludwig;"""On Again... Off Again""";English;8;2004
939;7;Netherlands;45;Re-Union;"""Without You""";English;20;2004
944;8;Germany;48;Max Mutzke;"""Can't Wait Until Tonight""";English, Turkish;8;2004
930;9;Albania;1;Anjeza Shahini;"""The Image of You""";English;7;2004
928;10;Ukraine;2;Ruslana;"""Wild Dances""";English, Ukrainian;1;2004
935;11;Croatia;12;Ivan Mikulić;"""You Are the Only One""";English;12;2004
938;12;Bosnia and Herzegovina;10;Deen;"""In the Disco""";English;9;2004
945;13;Belgium;46;Xandee;"""1 Life""";English;22;2004
946;14;Russia;8;Julia Savicheva;"""Believe Me""";English;11;2004
932;15;Macedonia;4;Toše Proeski;"""Life""";English;14;2004
927;16;Greece;25;Sakis Rouvas;"""Shake It""";English;3;2004
947;17;Iceland;17;Jónsi;"""Heaven""";English;19;2004
948;18;Ireland;38;Chris Doran;"""If My World Stopped Turning""";English;22;2004
949;19;Poland;9;Blue Café;"""Love Song""";English, Spanish;17;2004
950;20;United Kingdom;47;James Fox;"""Hold On to Our Love""";English;16;2004
931;21;Cyprus;22;Lisa Andreas;"""Stronger Every Minute""";English;5;2004
951;22;Turkey;26;Athena;"""For Real""";English;4;2004
952;23;Romania;6;Sanda;"""I Admit""";English;18;2004
953;24;Sweden;44;Lena Philipsson;"""It Hurts""";English;5;2004
968;1;Hungary;5;NOX;"""Forogj, világ!""";Hungarian;12;2005
979;2;United Kingdom;48;Javine;"""Touch My Fire""";English;22;2005
980;3;Malta;18;Chiara;"""Angel""";English;2;2005
967;4;Romania;7;Luminița Anghel & Sistem;"""Let Me Try""";English;3;2005
966;5;Norway;44;Wig Wam;"""In My Dreams""";English;9;2005
981;6;Turkey;27;Gülseren;"""Rimi Rimi Ley""";Turkish;13;2005
957;7;Moldova;1;Zdob și Zdub;"""Boonika bate doba""";English, Romanian;6;2005
982;8;Albania;2;Ledina Çelo;"""Tomorrow I Go""";English;16;2005
983;9;Cyprus;23;Constantinos Christoforou;"""Ela Ela""";English;18;2005
984;10;Spain;45;Son de Sol;"""Brujería""";Spanish;21;2005
960;11;Israel;28;Shiri Maimon;"""HaSheket SheNish'ar"" (השקט שנשאר)";Hebrew, English;4;2005
985;12;Serbia and Montenegro;2;No Name;"""Zauvijek moja"" (Заувијек моја)";Montenegrin;7;2005
977;13;Denmark;34;Jakob Sveistrup;"""Talking to You""";English;9;2005
986;14;Sweden;45;Martin Stenmarck;"""Las Vegas""";English;19;2005
970;15;Macedonia;5;Martin Vučić;"""Make My Day""";English;17;2005
987;16;Ukraine;3;GreenJolly;"""Razom nas bahato"" (Разом нас багато)";Ukrainian, English[a][b][c][d][e][f];19;2005
988;17;Germany;49;Gracia;"""Run & Hide""";English;24 ◁;2005
973;18;Croatia;13;Boris Novković feat. Lado Members;"""Vukovi umiru sami""";Croatian;11;2005
989;19;Greece;26;Helena Paparizou;"""My Number One""";English;1;2005
990;20;Russia;9;Natalia Podolskaya;"""Nobody Hurt No One""";English;15;2005
991;21;Bosnia and Herzegovina;11;Feminnem;"""Call Me""";English;14;2005
972;22;Switzerland;46;Vanilla Ninja;"""Cool Vibes""";English;8;2005
958;23;Latvia;6;Walters & Kazha;"""The War Is Not Over""";English;5;2005
992;24;France;48;Ortal;"""Chacun pense à soi""";French;23;2005
1016;1;Switzerland;47;six4one;"""If We All Give a Little""";English;16;2006
1017;2;Moldova;2;Arsenium feat. Natalia Gordienko & Connect-R;"""Loca""";English[b];20;2006
1018;3;Israel;29;Eddie Butler;"""Together We Are One""";Hebrew, English;23;2006
1019;4;Latvia;7;Vocal Group Cosmos;"""I Hear Your Heart""";English;16;2006
1020;5;Norway;45;Christine Guldbrandsen;"""Alvedansen""";Norwegian;14;2006
1021;6;Spain;46;Las Ketchup;"""Un Blodymary""";Spanish;21;2006
1022;7;Malta;19;Fabrizio Faniello;"""I Do""";English;24 ◁;2006
1023;8;Germany;50;Texas Lightning;"""No No Never""";English;14;2006
1024;9;Denmark;35;Sidsel Ben Semmane;"""Twist of Love""";English;18;2006
1005;10;Russia;10;Dima Bilan;"""Never Let You Go""";English;2;2006
1003;11;Macedonia;6;Elena Risteska;"""Ninanajna"" (Нинанајна)";English, Macedonian;12;2006
1025;12;Romania;8;Mihai Trăistariu;"""Tornerò""";English, Italian;4;2006
1014;13;Bosnia and Herzegovina;12;Hari Mata Hari;"""Lejla""";Bosnian;3;2006
1010;14;Lithuania;7;LT United;"""We Are the Winners""";English[a];6;2006
1026;15;United Kingdom;49;Daz Sampson;"""Teenage Life""";English;19;2006
1027;16;Greece;27;Anna Vissi;"""Everything""";English;9;2006
1008;17;Finland;40;Lordi;"""Hard Rock Hallelujah""";English;1;2006
1007;18;Ukraine;4;Tina Karol;"""Show Me Your Love""";English;7;2006
1028;19;France;49;Virginie Pouchain;"""Il était temps""";French;22;2006
1029;20;Croatia;14;Severina;"""Moja štikla""";Croatian;12;2006
1000;21;Ireland;40;Brian Kennedy;"""Every Song Is a Cry for Love""";English;10;2006
1012;22;Sweden;46;Carola;"""Invincible""";English;5;2006
1006;23;Turkey;28;Sibel Tüzün;"""Süper Star""";Turkish, English;11;2006
993;24;Armenia;1;André;"""Without Your Love""";English;8;2006
1058;1;Bosnia and Herzegovina;13;Marija Šestić;"""Rijeka bez imena"" (Ријека без имена)";Serbian;11;2007
1059;2;Spain;47;D'NASH;"""I Love You Mi Vida""";Spanish[g];20;2007
1033;3;Belarus;4;Dmitry Koldun;"""Work Your Magic""";English;6;2007
1060;4;Ireland;41;Dervish;"""They Can't Stop the Spring""";English;24 ◁;2007
1061;5;Finland;41;Hanna Pakarinen;"""Leave Me Alone""";English;17;2007
1047;6;Macedonia;7;Karolina;"""Mojot svet"" (Мојот свет)";Macedonian, English;14;2007
1054;7;Slovenia;13;Alenka Gotar;"""Cvet z juga""";Slovene;15;2007
1051;8;Hungary;6;Magdi Rúzsa;"""Unsubstantial Blues""";English;9;2007
1062;9;Lithuania;8;4Fun;"""Love or Leave""";English;21;2007
1063;10;Greece;28;Sarbel;"""Yassou Maria"" (Γειά σου Μαρία)";English[h];7;2007
1035;11;Georgia;1;Sopho;"""Visionary Dream""";English;12;2007
1064;12;Sweden;47;The Ark;"""The Worrying Kind""";English;18;2007
